column,role,endpoint,timepoint,why,how_define_xml_says_it_was_made,traces_to,where_in_the_source
USUBJID,technical,,baseline / fixed,,ADSL.USUBJID,ADSL.USUBJID,(inherits ADSL)
STUDYID,technical,,baseline / fixed,,ADSL.STUDYID,ADSL.STUDYID,(inherits ADSL)
SUBJID,technical,,baseline / fixed,,DM.SUBJID,DM.SUBJID,CRF Page 7
SITEID,technical,,baseline / fixed,,ADSL.SITEID,ADSL.SITEID,(inherits ADSL)
SITEGR1,feature,,baseline / fixed,pooled site — a design variable and a factor in the sponsor's model,ADSL.SITEGR1,ADSL.SITEGR1,(inherits ADSL)
ARM,feature,,baseline / fixed,randomised assignment; same content as TRT01P,DM.ARM,DM.ARM,Assigned
TRT01P,feature,,baseline / fixed,"randomised assignment — the intervention, fixed before any outcome",DM.ARM,DM.ARM,Assigned
TRT01PN,feature,,baseline / fixed,numeric twin of TRT01P,Numeric code for TRT01P which corresponds to the randomized dose,,
TRT01A,result,,baseline / fixed,actual treatment is knowable only after dosing (identical to planned here),"TRT01A=TRT01P, i.e., no difference between actual and randomized treatment in this study.",,
TRT01AN,result,,baseline / fixed,numeric twin of TRT01A,Numeric code for TRT01A which corresponds to the randomized dose,,
TRTSDT,feature,,baseline / fixed,"first dose date, fixed at the start",ADSL.TRTSDT,ADSL.TRTSDT,(inherits ADSL)
TRTEDT,result,,baseline / fixed,date of last dose — encodes when the subject stopped,ADSL.TRTEDT,ADSL.TRTEDT,(inherits ADSL)
TRTDUR,result,,baseline / fixed,"TRTEDT-TRTSDT+1, so it encodes time on drug, i.e. discontinuation",TRTEDT-TRTSDT+1,,
AVGDD,result,,baseline / fixed,CUMDOSE/TRTDUR — inherits TRTDUR,CUMDOSE/TRTDUR,,
