dataset,variable,label,role,named_in_analysis_metadata,why,how_define_xml_says_it_was_made,traces_to,where_in_the_source
ADSL,STUDYID,Study Identifier,technical,,,DM.STUDYID,DM.STUDYID,CRF Page 7
ADSL,USUBJID,Unique Subject Identifier,technical,,,DM.USUBJID,DM.USUBJID,Derived
ADSL,SUBJID,Subject Identifier for the Study,technical,,,DM.SUBJID,DM.SUBJID,CRF Page 7
ADSL,SITEID,Study Site Identifier,technical,,,DM.SITEID,DM.SITEID,Assigned
ADSL,SITEGR1,Pooled Site Group 1,feature,,pooled site — a design variable and a factor in the sponsor's model,"refer to SAP, Section 7.1 - if not pooled then SITEGR1=SITEID. If pooled, SITEGR1 will be 900",,
ADSL,ARM,Description of Planned Arm,feature,,randomised assignment; same content as TRT01P,DM.ARM,DM.ARM,Assigned
ADSL,TRT01P,Planned Treatment for Period 01,feature,,"randomised assignment — the intervention, fixed before any outcome",DM.ARM,DM.ARM,Assigned
ADSL,TRT01PN,Planned Treatment for Period 01 (N),feature,,numeric twin of TRT01P,Numeric code for TRT01P which corresponds to the randomized dose,,
ADSL,TRT01A,Actual Treatment for Period 01,result,,actual treatment is knowable only after dosing (identical to planned here),"TRT01A=TRT01P, i.e., no difference between actual and randomized treatment in this study.",,
ADSL,TRT01AN,Actual Treatment for Period 01 (N),result,,numeric twin of TRT01A,Numeric code for TRT01A which corresponds to the randomized dose,,
ADSL,TRTSDT,Date of First Exposure to Treatment,feature,,"first dose date, fixed at the start","SV.SVSTDTC when SV.VISITNUM=3, converted to SAS date",SV.SVSTDTC,Derived
ADSL,TRTEDT,Date of Last Exposure to Treatment,result,,date of last dose — encodes when the subject stopped,"The date of final dose (from the CRF) is EX.EXENDTC on the subject's last EX record. If the date of final dose is missing for the subject and the subject discontinued after visit 3, use the date of discontinuation as the date of last dose. Convert the date to a SAS date.",EX.EXENDTC,"CRF Page 105, 138"
ADSL,TRTDUR,Duration of Treatment (days),result,,"TRTEDT-TRTSDT+1, so it encodes time on drug, i.e. discontinuation",TRTEDT-TRTSDT+1,,
ADSL,AVGDD,Avg Daily Dose (as planned),result,,CUMDOSE/TRTDUR — inherits TRTDUR,CUMDOSE/TRTDUR,,
ADSL,CUMDOSE,Cumulative Dose (as planned),result,,accumulates over time on drug,"For ARMN=0 or 1: CUMDOSE=TRT01PN*TRTDUR. --- For ARMN=2: CUMDOSE will be based on 54mg per day for the # of days subj was in 1st dosing interval (i.e., visit4date-TRTSTDT+1 if 1st interval completed, TRTEDT-TRTSTDT+1 if subj discontinued <=visit 4 and > visit 3), 81mg per day for the # of days subj was in 2nd dosing interval (i.e., visit12date-visit4date if 2nd interval completed, TRTEDT-visit4date if subj discontinued <= visit 12 and > visit 4), and 54mg per day for the # of days subj was in 3rd dosing interval (i.e., TRTEDT - visit12date if subj continued after visit 12).",,
ADSL,AGE,Age,feature,yes,,DM.AGE,DM.AGE,Derived
ADSL,AGEGR1,Pooled Age Group 1,feature,yes,banded AGE,Character variable derived from ADSL.AGEGR1N,ADSL.AGEGR1N,(inherits ADSL)
ADSL,AGEGR1N,Pooled Age Group 1 (N),feature,,numeric twin of AGEGR1,AGEGR1 = 1 if AGE <65. AGEGR1 = 2 if AGE 65-80. AGEGR1 = 3 if AGE >80.,,
ADSL,AGEU,Age Units,technical,,,DM.AGEU,DM.AGEU,Assigned
ADSL,RACE,Race,feature,yes,,DM.RACE,DM.RACE,CRF Page 7
ADSL,RACEN,Race (N),feature,,numeric twin of RACE,Numeric code for RACE,,
ADSL,SEX,Sex,feature,yes,,DM.SEX,DM.SEX,CRF Page 7
ADSL,ETHNIC,Ethnicity,feature,,,DM.ETHNIC,DM.ETHNIC,Derived
ADSL,SAFFL,Safety Population Flag,result,yes,requires a non-missing treatment start date,Y if ITTFL='Y' and TRTSDT ne missing. N otherwise,,
ADSL,ITTFL,Intent-To-Treat Population Flag,technical,yes,"'Y if ARMCD ne blank' — true for everyone randomised, so it selects rather than informs",Y if ARMCD ne ' '. N otherwise,,
ADSL,EFFFL,Efficacy Population Flag,result,yes,requires post-baseline ADAS-Cog and CIBIC+ records to exist,"Y if SAFFL='Y AND subject has at least one record in QS for ADAS-Cog with VISITNUM>3 AND at least one record in QS for CIBIC+ with VISITNUM>3, N otherwise",,
ADSL,COMP8FL,Completers of Week 8 Population Flag,result,,completion status at week 8,"Y if subject has a SV.VISITNUM=8 and ENDDT >= date of visit 8, N otherwise",SV.VISITNUM,"CRF Pages 7, 22, 25, 32, 36, 42, 49, 52, 58, 67, 73, 82, 88, 90, 99, 108, 116, 121, 122, 123, 123, 125, 126, 128"
ADSL,COMP16FL,Completers of Week 16 Population Flag,result,,completion status at week 16,"Y if subject has a SV.VISITNUM=10 and ENDDT>=date of visit 10, N otherwise",SV.VISITNUM,"CRF Pages 7, 22, 25, 32, 36, 42, 49, 52, 58, 67, 73, 82, 88, 90, 99, 108, 116, 121, 122, 123, 123, 125, 126, 128"
ADSL,COMP24FL,Completers of Week 24 Population Flag,result,yes,completion status at week 24 — the discontinuation outcome in disguise,"Y if subject has a SV.VISITNUM=12 and ENDDT>= date of visit 12 , N otherwise",SV.VISITNUM,"CRF Pages 7, 22, 25, 32, 36, 42, 49, 52, 58, 67, 73, 82, 88, 90, 99, 108, 116, 121, 122, 123, 123, 125, 126, 128"
ADSL,DISCONFL,Did the Subject Discontinue the Study?,result,yes,discontinuation outcome,Y if DCREASCD ^= 'Completed'. Null otherwise,,
ADSL,DSRAEFL,Discontinued due to AE?,result,,discontinued because of an adverse event,Y if DCREASCD='Adverse Event'. Null otherwise,,
ADSL,DTHFL,Subject Died?,result,,death,DM.DTHFL,DM.DTHFL,Derived
ADSL,BMIBL,Baseline BMI (kg/m^2),feature,yes,from baseline height and weight,WEIGHTBL / ((HEIGHTBL*100)**2),,
